time,in1,in2,cal_time
-180,0.498120846411258,0.418503986145083,0.2068156
-178,0.497814346940637,0.419101816578844,0.2011628
-176,0.497089738438093,0.418940779527859,0.2032546
-174,0.496902646152716,0.419034069223609,0.1942124
-172,0.496857408830175,0.419095428309991,0.1852044
-170,0.496672573142717,0.418944786355626,0.19421
-168,0.496636866702203,0.41893316316567,0.1968586
-166,0.496577036795796,0.418909167370952,0.1831871
-164,0.496497035552733,0.418873303966521,0.1805398
-162,0.496482530320642,0.41889977128969,0.1791534
-160,0.496465389299142,0.41891209561056,0.181878
-158,0.496456037121619,0.418918959195475,0.1800312
-156,0.49646086912685,0.418929957887646,0.1891311
-154,0.496454908527364,0.418924943114162,0.1775715
-152,0.496448560835968,0.418918211371673,0.1781827
-150,0.496444498830229,0.418914402256578,0.1791221
-148,0.496439622659734,0.418910736395162,0.178901
-146,0.496438721754659,0.4189114875642,0.1803709
-144,0.496439834302265,0.41891407535107,0.1772843
-142,0.496440565865928,0.418915765816665,0.1783916
-140,0.496441194203471,0.418916823316901,0.1818265
-138,0.496440832322041,0.418916539637124,0.1807224
-136,0.496439845203127,0.418915490748211,0.1797032
-134,0.496439148690705,0.418914736670474,0.1832436
-132,0.496438825200121,0.418914414200006,0.1777757
-130,0.496438929640833,0.418914568946041,0.179349
-128,0.496439280125884,0.418914985664352,0.1773812
-126,0.496439527241473,0.418915286754934,0.1792494
-124,0.496439581307711,0.418915370956077,0.1787382
-122,0.49643947510597,0.418915273843623,0.1800833
-120,0.496439304287588,0.418915100423873,0.1752639
-118,0.496439194941654,0.418914985873835,0.1808324
-116,0.49643917907313,0.418914967030677,0.1757167
-114,0.496439234823204,0.418915023647578,0.1805992
-112,0.49643930158566,0.418915092605171,0.1778743
-110,0.496439342118374,0.41891513561849,0.180954
-108,0.496439337854919,0.418915132983793,0.1778272
-106,0.496439311302469,0.418915104554518,0.1810613
-104,0.496439280334755,0.418915074307399,0.1786537
-102,0.496439267638755,0.418915062074673,0.1821294
-100,0.496439269841355,0.418915064672137,0.1801774
-98,0.496439282548988,0.418915076977201,0.1908327
-96,0.496439293873193,0.41891508862887,0.1807223
-94,0.496439287844545,0.418915082418394,0.1802508
-92,0.496439294511642,0.418915089481871,0.1798315
-90,0.496439279635594,0.418915074670886,0.1876017
-88,0.496439284510305,0.418915079722876,0.1790899
-86,0.496439279942501,0.418915074962647,0.1840827
-84,0.49643928566998,0.418915080539939,0.1898418
-82,0.496439286355176,0.418915081281513,0.1805372
-80,0.496439288468381,0.418915083313869,0.1788382
-78,0.49643928442715,0.418915079073049,0.1777853
-76,0.496439281958483,0.418915076378565,0.1799966
-74,0.496439276392398,0.41891507055491,0.1784669
-72,0.496439279690402,0.418915074185108,0.1786608
-70,0.496439275937123,0.41891507034442,0.1847849
-68,0.496439280414265,0.418915074674276,0.1819661
-66,0.496439281568819,0.41891507622289,0.1801323
-64,0.496439282441538,0.418915077255578,0.1773384
-62,0.496439282534168,0.41891507681703,0.1846162
-60,0.496439277790402,0.418915071606464,0.1794394
-58,0.496439282628029,0.418915076964521,0.1805537
-56,0.496439275092617,0.418915069001969,0.1801584
-54,0.496439280948401,0.418915074458022,0.1780576
-52,0.496439271655784,0.418915064925088,0.1850738
-50,0.496439280339794,0.418915074281968,0.1815157
-48,0.496439277277593,0.418915071704102,0.1827862
-46,0.496439282525349,0.418915075408054,0.1832571
-44,0.496439282810973,0.418915076169832,0.1809186
-42,0.496439282922577,0.418915076620322,0.1790463
-40,0.496439283008507,0.418915076141001,0.1800274
-38,0.496439284926917,0.418915078661731,0.1811533
-36,0.496439282268214,0.418915075410621,0.1811887
-34,0.49643928463037,0.418915077646042,0.1803038
-32,0.496439284459092,0.418915078184202,0.1801739
-30,0.496439284604129,0.418915077895421,0.1792511
-28,0.496439285504225,0.418915078474874,0.1787072
-26,0.496439283365237,0.418915075930041,0.2274756
-24,0.496439282965081,0.418915075092685,0.1792392
-22,0.496439280151415,0.418915071686222,0.1807813
-20,0.496439277864726,0.418915068544707,0.1786075
-18,0.4964392797508,0.418915071283398,0.1855049
-16,0.49643927128004,0.418915060445563,0.1812342
-14,0.496439281969315,0.418915072892024,0.1807158
-12,0.496439267318112,0.418915056814979,0.1811083
-10,0.496438762388346,0.418914553390841,0.1793319
-8,0.496440217091136,0.41891600998627,0.1770283
-6,0.49643890606318,0.418914700270537,0.1847308
-4,0.496443225686473,0.418919020636239,0.176631
-2,0.496932311178339,0.419408106456537,0.1801735
0,0.496969243267845,0.419445038656362,0.1821625
2,0.496492807232189,0.418968602664043,0.1800991
4,0.495355232272246,0.417831027755571,0.1786546
6,0.492787088828036,0.415262884384601,0.1987802
8,0.489574646598645,0.412050442233905,0.1813601
10,0.485579347169224,0.40805514286915,0.1827216
12,0.480821767570622,0.403297563311756,0.1788918
14,0.475774970653271,0.398250766413882,0.1807496
16,0.47026503013837,0.392740825904543,0.1759561
18,0.464524182336778,0.386999978102846,0.2125911
20,0.458680275629391,0.381156071395074,0.1805281
22,0.452681803545753,0.375157599312748,0.1834379
24,0.446647606936726,0.369123402706405,0.1826125
26,0.441256990550869,0.363732786323468,0.186477
28,0.436195587021259,0.358671382796096,0.1840512
30,0.431723082705786,0.354198878481865,0.1845718
32,0.427976156861963,0.350451952638464,0.1824293
